screen_size,ROM,RAM,n_rear_cam,n_front_cam,battery_c,ratings,n_ratings,sales_p,discount_p,sales_idx
Large,128,8,4,1,4000,4.3,930,22499,0.25,2.09
Large,128,6,4,1,5000,4.2,1143,17499,0.07,2.0
Large,64,4,4,1,5000,4.2,545,12176,0.23,0.66
Large,128,8,2,1,3300,4.3,8,84999,0.11,0.07
Large,128,6,4,1,7000,4.2,9721,23999,0.2,23.33
Large,128,6,3,1,5000,4.3,44,20288,0.09,0.09
Medium,128,6,4,1,5000,4.3,6678,16999,0.29,11.35
Large,128,6,4,1,4500,4.3,216,27499,0.09,0.59
Large,128,6,4,1,5000,4.2,1143,17499,0.07,2.0
Large,128,6,4,1,5000,3.9,7,16499,0.08,0.01
Large,128,6,4,1,7000,4.2,9721,23999,0.2,23.33
Large,32,3,3,1,5000,4.0,4,11499,0.14,0.0
Large,64,4,3,1,5000,4.2,766,10499,0.08,0.8
Large,128,6,4,1,7000,4.2,9721,23999,0.2,23.33
Large,128,8,4,1,4500,4.5,16,37499,0.08,0.06
Large,64,4,3,1,5000,4.2,766,10499,0.08,0.8
Medium,64,4,3,1,5000,4.3,8789,10986,0.02,9.66
Medium,64,6,3,1,6000,4.3,61812,15999,0.2,98.89
Large,128,8,2,1,3300,4.3,8,84999,0.11,0.07
Large,64,4,4,1,5000,4.2,545,12390,0.11,0.68
Large,128,6,4,1,5000,3.9,7,16499,0.08,0.01
Large,128,6,3,1,5000,4.3,44,20696,0.05,0.09
Large,64,4,4,1,5000,4.2,3160,14999,0.16,4.74
Medium,128,6,4,1,5000,4.3,6678,22990,0.04,15.35
Large,128,6,4,1,4000,4.3,2096,20999,0.19,4.4
Large,128,8,4,1,4500,4.4,3510,27499,0.21,9.65
Large,256,8,2,1,3300,4.3,8,88999,0.11,0.07
Large,256,8,3,1,4300,4.3,26,77999,0.09,0.2
Large,64,4,4,1,5000,4.2,3160,14999,0.16,4.74
Very Large,256,12,3,1,4400,4.4,7,149999,0.12,0.1
Small,32,3,2,1,4000,4.2,10242,9299,0.07,9.52
Large,32,3,3,1,5000,4.2,683,9499,0.09,0.65
Large,256,8,3,1,4300,4.3,26,77999,0.09,0.2
Large,32,3,2,1,5000,4.0,322,8850,0.11,0.28
Large,64,4,4,1,5000,4.2,3160,14999,0.16,4.74
Very Large,512,12,3,1,4400,4.4,7,157999,0.12,0.11
Very Large,256,12,3,1,4400,4.4,7,149999,0.12,0.1
Large,32,3,3,1,5000,4.2,683,9499,0.09,0.65
Large,64,4,3,1,5000,4.2,23,12499,0.13,0.03
Large,128,6,4,1,4500,4.3,6,35999,0.07,0.02
Large,64,6,4,1,5000,4.2,1143,15199,0.01,1.74
Medium,128,4,3,1,4000,4.3,23878,14999,0.39,35.81
Large,128,8,4,1,4500,4.4,202,28999,0.09,0.59
Large,32,3,3,1,5000,4.0,4,11499,0.14,0.0
Large,64,4,3,1,5000,4.2,23,12400,0.03,0.03
Large,256,12,3,1,4500,4.5,110,91999,0.2,1.01
Large,32,3,3,1,5000,4.0,4,11499,0.14,0.0
Large,256,8,3,1,4300,4.3,26,54599,0.31,0.14
Large,128,6,4,1,4500,4.3,6,35999,0.07,0.02
Large,128,8,3,1,4500,4.0,293,49999,0.24,1.46
Large,32,3,2,1,5000,4.0,322,8083,0.01,0.26
Large,128,6,4,1,5000,3.9,7,16499,0.08,0.01
Small,8,1,1,1,2600,4.1,2343,15999,0.04,3.75
Large,128,8,3,1,4500,4.0,293,49999,0.24,1.46
Very Large,256,12,3,3,4500,3.0,10,149999,0.21,0.15
Medium,128,4,3,1,4000,4.3,23878,14999,0.39,35.81
Large,256,12,3,1,4500,4.5,110,91999,0.2,1.01
Medium,64,4,3,1,3300,4.4,12902,17990,0.29,23.21
Small,64,4,1,1,3000,4.5,42278,9490,0.44,40.12
Small,16,2,1,1,3300,4.3,38916,15299,0.01,59.54
Medium,32,2,1,1,3400,4.3,13112,7990,0.08,10.48
Small,8,1,1,1,2600,4.1,2343,15999,0.04,3.75
Small,16,2,1,1,3300,4.3,38916,13800,0.08,53.7
Medium,32,3,2,1,4000,4.3,15519,11490,0.1,17.83
Large,128,8,3,1,5000,4.2,26,21999,0.08,0.06
Large,32,3,3,1,5000,4.2,683,9499,0.09,0.65
Large,128,8,4,1,7000,4.3,4746,25999,0.18,12.34
Medium,128,6,3,1,6000,4.3,61812,14499,0.3,89.62
Medium,128,6,3,1,6000,4.3,61812,14499,0.3,89.62
Medium,128,6,3,1,6000,4.3,61812,14499,0.3,89.62
Large,64,4,3,1,5000,4.1,545,9999,0.04,0.54
Medium,64,6,3,1,6000,4.3,61812,15999,0.2,98.89
Medium,64,6,3,1,6000,4.3,61812,15999,0.2,98.89
Medium,128,6,4,1,6000,4.4,102,16980,0.06,0.17
Large,128,8,4,1,5000,4.3,126,34999,0.16,0.44
Large,128,8,4,1,4500,4.4,202,28999,0.09,0.59
Large,128,8,2,3,3700,4.4,5393,28490,0.14,15.36
Large,128,8,4,1,7000,4.3,4746,25999,0.18,12.34
Large,128,8,3,1,4800,4.4,290,71999,0.28,2.09
Large,128,8,3,1,5000,4.3,153,24499,0.05,0.37
Large,128,6,4,1,4000,4.3,2096,20999,0.19,4.4
Medium,64,4,1,1,6000,4.3,4205,14090,0.09,5.92
Large,32,3,3,1,4000,4.3,220,11599,0.1,0.26
Large,128,8,3,1,4500,4.3,1594,39999,0.11,6.38
Small,32,3,2,1,4000,4.2,10242,8999,0.1,9.22
Large,128,8,4,1,7000,4.3,4746,25999,0.18,12.34
Large,128,8,3,1,4500,4.0,293,49999,0.24,1.46
Large,128,8,4,1,4500,4.4,3510,27499,0.21,9.65
Large,32,3,3,1,4000,4.3,220,11599,0.1,0.26
Medium,256,8,3,1,4000,4.3,134,73999,0.15,0.99
Large,128,6,4,1,4000,4.3,2096,20999,0.19,4.4
Large,32,3,3,1,4000,4.3,220,11599,0.1,0.26
Large,64,4,3,1,4000,4.3,233,13695,0.08,0.32
Medium,128,8,2,1,3400,4.6,1910,39999,0.43,7.64
Large,64,4,3,1,4000,4.3,233,13695,0.08,0.32
Large,32,3,1,1,5000,4.3,8459,8394,0.06,7.1
Large,128,6,3,1,4520,4.3,194,24398,0.06,0.47
Medium,32,3,2,1,5000,4.2,8161,8299,0.07,6.77
Medium,64,4,3,1,4030,4.3,12458,12990,0.13,16.18
Large,128,4,2,1,5000,4.2,6870,10990,0.08,7.55
Large,128,8,3,1,4250,4.2,560,23999,0.07,1.34
Large,128,8,3,1,4250,4.2,560,23999,0.07,1.34
Medium,128,6,2,1,4000,4.4,53013,15485,0.03,82.09
Large,128,6,3,1,4520,4.3,194,24780,0.04,0.48
Large,128,6,4,1,4820,4.3,1216,23949,0.01,2.91
Medium,64,6,2,2,4000,4.5,25400,12749,0.05,32.38
